,Recipe,Location,Item,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4
65,Deliciousoup,"Old Schoolhouse, or Cafeteria (Chapter 2)",Golden Soup,Gold Bullion,Golden Meat,Liquid Metal,Ceramic Plate
66,Bomb,Automatically obtain,Flame,Canone Rock,Polish Powder/Flour/Black Powder,Nicro Cloth/Pleather Cloth/Silky Cloth/Formell Fabric,
67,Bomb,Automatically obtain,Bomb Ice,Glacier Stone,Polish Powder/Flour/Black Powder,Clearwater/Black Liquid/Preservative,
68,Bomb,Automatically obtain,Lightning Rod,Thunder Stone,Polish Powder/Flour/Black Powder,Legien Steel/Cyprus Copper/Preuve Lead/Elemia Silver,
69,Super Bomb,Campus Grounds (Chapter 7),Tera Flame,Canone Crystal,Plosion,Flame Ring,
70,Super Bomb,Campus Grounds (Chapter 7),Bobomb Ice,Glacier Crystal,Plosion,Ice Ring,
71,Super Bomb,Campus Grounds (Chapter 7),Thunder Rod,Thunder Crystal,Plosion,Thunder Ring,
72,Exploding Uni,Complete Job no. 046,Uni Bomb,Uni/Big Uni,Plosion,Tuft/Knot/Shiny Moustache/Meringue Whip,
73,Uni the Great,"Complete Job no. 047, or Student Store (Chapter 8)",Big Uni Bomb,Big Uni,Plosion,Uni Bomb/Flame/Tera Flame,
74,Uni the Great,"Complete Job no. 047, or Student Store (Chapter 8)",Big Orange Bomb,Tangerine/Sunrise Orange/Mandarin Orange,Plosion,Pleather Cloth,
75,Uni the Great,"Complete Job no. 047, or Student Store (Chapter 8)",Big Lando Bomb,X-Lando/Sweet Lando,Plosion,Lando Bomb/Flame/Tera Flame,
76,The Mystic Uni,Dragon's Grave - Cave of Origin,Uni God,Uni/Big Uni,Soul of Darkness,Dragon Tongue,Pentagle
77,Fruit Bomb,"Resource Center Dungeon, or Cafeteria (Chapter 4)",Orange Bomb,Tangerine/Sunrise Orange/Mandarin Orange,Flour/Black Powder/Polish Powder/Plosion,Pleather Cloth,
78,Sweet Fruit Bomb,"Mana Ruins - Outskirts, or Cafeteria (Chapter 5)",Lando Bomb,Lando/X-Lando/Sweet Lando,Flour/Black Powder/Polish Powder/Plosion,Black Steel,
79,Twirly Thing,"Complete Job no. 058, or Student Store (Chapter 8)",Globe,Raw Komet Ore/Super Komet,Polish Powder/Shiny Powder,Zettel/Holy Crest Paper,Black Steel/Red Steel/Blue Steel/White Steel
80,A Small Universe,Dragon's Grave - Cave of Origin,Stellar Globe,Globe,Le Merou Cog/Eternal Turnkey/Gearbox/Organne la Firste,Canone Crystal/Glacier Crystal/Thunder Crystal,Pot Station
81,Pudding,Cafeteria (Chapter 6),Unipuni Pudding,Uni/Big Uni,Puppy Paw Flan,Puni Gummi,Ceramic Plate
82,Traditional Cake,Cafeteria (Chapter 5),Cheesecake,Goat Cheese,Vanilla Syrup/Goat Milk,Monster Cookie/Taiyaki,
83,Traditional Cake,Cafeteria (Chapter 5),Pumpotatokin Pie,Pumpotatokin,Vanilla Syrup/Goat Milk,Monster Cookie/Taiyaki,
84,Bite-sized Sorbet,Cafeteria (Chapter 7),Grape Sherbet,Bitter Grape/Night-in-grape,Long Ice Cream,Bomb Ice/Bobomb Ice,
85,Bite-sized Sorbet,Cafeteria (Chapter 7),Muscat Sorbet,Muscat,Long Ice Cream,Bomb Ice/Bobomb Ice,
86,Sweets Paradise,"Complete Job no. 055, or Cafeteria (Chapter 11)",Sweetsland,Unipuni Pudding,Jumbo Donut,Grape Sherbet/Muscat Sorbet,Cheesecake/Pumpotatokin Pie
87,Fruit Juice,Cafeteria (Chapter 3),120% Fruit,Bitter Grape/Night-in-grape/Muscat/Tangerine/Sunrise Orange/Mandarin Orange,Lando/X-Lando/Sweet Lando,Goat Milk,
88,Fruit Juice,Cafeteria (Chapter 3),Veggielicious,Spinacherb,Carrotato,Radish/Medicinal Radish,Clearwater/Brown Groundwater/Marine Water
89,Fruit Juice,Cafeteria (Chapter 3),Veggie Purple,Purplinacherb,Carrotato,Radish/Medicinal Radish,Clearwater/Brown Groundwater/Marine Water
90,Radiating Disc,Automatically obtain,Divine Shield,Holy Crest Paper/Brilliant Stone,Red Steel/Blue Steel,Chrome Crystal/Pendelook/Soul of Darkness,
91,Magic Stake Cloth,Automatically obtain,Misty Curtain,Holy Crest Paper/Brilliant Stone,Silky Cloth/Formell Fabric,Yubana Fruit/Dried Yubana/Yubana Flower/Lando/X-Lando/Sweet Lando,
92,Invisible Mantle,Campus Grounds (Chapter 6),Treasure Cape,Amber Soup/Tranquilizer,Silky Cloth/Formell Fabric,Chrome Crystal/Pendelook/Soul of Darkness,
93,Old Collar,Automatically obtain,Ragged Collar,Woodchip/Giant Woodchip,Legien Steel,Dirt/Red Dirt/Black Dirt/Polish Powder/Flour,
94,Old Collar,Automatically obtain,Leather Collar,Pleather Cloth/Brisingamen,Cyprus Copper,Polish Powder/Flour,
95,Medicinal Collar,Infirmary (Chapter 3),Flea Necklace,Dietary Fiber/Spinacherb/Gash Twig/Eicheloa/Poison Shroom,Carrotato/Dirt/Red Dirt/Black Dirt,Tuft,Cyprus Copper
96,Medicinal Collar,Infirmary (Chapter 3),Bone Necklace,Beast Fang/Monster Bone,Leather Collar,Dragon Bone/Carabine Harp,Worn Weapon/Worn Armor
97,Cute Ribbon,"Mana Ruins - Outskirts, or Infirmary (Chapter 5)",Pretty Ribbon,Nicro Cloth/Pleather Cloth/Silky Cloth,Leather Collar/Ragged Collar,Bitter Grape/Night-in-grape/Muscat/Blue Petal/Red Petal,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Heal Jar
98,Cute Ribbon,"Mana Ruins - Outskirts, or Infirmary (Chapter 5)",Cait Sith's Collar,Pentagle/Brilliant Stone/Gravity Stone,Pretty Ribbon,Shiny Moustache,Vasilissa's Doll
99,Huge Ring,Automatically obtain,Giant's Ring,Iron Plate/Bronze Plate/Black Steel/Red Steel,Flame Ring/Ice Ring/Thunder Ring,Preuve Lead/Alchemic Cymbal,
100,Huge Donut,Cafeteria (Chapter 8),Jumbo Donut,Meringue Whip/Taiyaki/Long Ice Cream,Flour/Salt/Shiny Powder,Vanilla Syrup/Candy Eye/Goat Milk,Leather Collar/Ragged Collar
101,Collar of Magic,"Dragon's Grave - Cave of Origin, or Student Store (Chapter 11)",Runed Collar,Bone Necklace,Shield of Ajax/Mirror of Gargol/Divine Shield/Misty Curtain/Dunkelhite,Magical Clay/Blood Clay/Dirt/Red Dirt/Black Dirt,
102,Collar of Magic,"Dragon's Grave - Cave of Origin, or Student Store (Chapter 11)",Magic Stone Collar,Cait Sith's Collar/Runed Collar,Altena Ingot,Stone of Alectoria,Fortune Ring
103,God's Necklace,Heart's Prison,Brisingamen,Magic Stone Collar,Uni God,Symbol of Uroborus,
104,Standard Mechsword,"Mana Ruins - Outskirts, or Student Store (Chapter 5)",Pyre Blade,Burdock Straight/Worn Weapon,Legien Steel/Cyprus Copper/Preuve Lead/Elemia Silver,Polish Powder,Gear/Grand Gear/Little Gear/Le Merou Cog
105,Standard Mechsword,"Mana Ruins - Outskirts, or Student Store (Chapter 5)",Pyre Blade II,Pyre Blade,Vorey Splitter/Sledgehammer,Shiny Powder,Flame/Tera Flame/Uni Bomb/Big Uni Bomb/Orange Bomb/Big Orange Bomb/Lando Bomb/Big Lando Bomb
106,Epigonic Mechsword,Student Store (Chapter 5),Machine Cradle,Legien Steel/Cyprus Copper/Preuve Lead/Elemia Silver,Gearbox/Metronome,Black Liquid/Preservative,Polish Powder
107,Modified Mechsword,Student Student (Chapter 7),Alvero,Blue Steel,Gearbox/Metronome/Voidspark Pipe/Machine Cradle,Lightning Rod/Thunder Rod/Thunder Crystal,Gear/Grand Gear/Little Gear/Le Merou Cog
108,Modified Mechsword,Student Student (Chapter 7),Sharkgill Sword,Sharkgill,Kaiser: Aqua Hero,Machine Cradle,
109,Enhanced Mechsword,Dragon's Grave - Cave of Origin,Progius,Voidspark Pipe/White Steel/Altena Ingot,Le Merou Cog,Organne La Firste/Gear/Grand Gear/Little Gear,
110,Motorized Mechsword,"Complete Job no. 050, or Student Store (Chapter 11)",Quartz Slicer,Alvero/Gravity Stone/Canone Crystal/Glacier Crystal/Thunder Crystal,Voidspark Pipe/Velvet Horn,Thunder Rod,
111,Master Mechsword,Heart's Prison,Deus ex Machina,Pyre Blade II,Quartz Slicer,Progius,
112,Game Card,Mana Ruins - Outskirts,Astral Card,Zettel/Holy Crest Paper,Asclepius/Symbol of Uroborus,Radish/Medicinal Radish,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Preservative
113,Game Card,Mana Ruins - Outskirts,Itsa Card,King Style,Astral Card,Vasilissa's Doll,Philosopher's Hand
114,Ritual Charm,"Dragon's Grave - Bone Grove, or Student Store (Chapter 6)",Flonne's Charm,Holy Crest Paper/Bonus Card,Heal Jar/X-Heal/Heal All/Cure Jar,Flame Ring/Canone Crystal,Lando/X-Lando/Sweet Lando
115,Bonus Card,"Complete Job no. 059, or Cafeteria (Chapter 7)",Bonus Card,Rocks rock!,Astral Card/Flonne's Charm/Bonus Card/Trauer Card/Solingen/Wild Card/Itsa Card/Type Solomon,,
116,Magic Card,"Wind's Corridor - Abyss, or Infirmary (Chapter 8)",Trauer Card,Astral Card,Holy Crest Paper,Galilean Scope/Pentagle/Brilliant Stone,Silky Cloth/Formell Fabric
117,Razor Card,Student Store (Chapter 8),Solingen,Red Steel/Blue Steel/White Steel/Magical Clay/Blood Clay,Polish Powder/Shiny Powder,Tera Flame/Big Uni Bomb/Big Orange Bomb/Big Lando Bomb,
118,Razor Card,Student Store (Chapter 8),Wild Card,Astral Card,Gravity Stone,Stone of Alectoria/Magic Stone Collar,
119,Magic Act,Heart's Prison,Type Solomon,Flonne's Charm,Fires of Hell/Diamond Dust/Electric Elect,Globe/Stellar Globe,Holy Crest Paper
120,Lovely Bag,"Wind's Corridor - Mist, or Campus Grounds (Chapter 2)",Favorite Bag,Zettel/Nicro Cloth,Puniball,Blue Petal/Red Petal/Glowing Petal,
121,Luxury Purse,Infirmary (Chapter 2),Brand Name Bag,Pleather Cloth,Crimson Feather,Fake Brand Bag,Heal Jar/X-Heal/Preservative
122,Luxury Purse,Infirmary (Chapter 2),Fake Brand Bag,Nicro Cloth,Blue Petal/Red Petal,Zettel/Holy Crest Paper,Huffin/Brand Name Bag
123,Net Basket,"Dragon's Grave - Bone Grove, or Campus Grounds (Chapter 6)",Alchemist's Basket,Dietary Fiber/Burdock Straight/Uni,Bitter Grape/Night-in-grape/Muscat/Tangerine/Sunrise Orange/Mandarin Orange,Straw Doll/Pretty Ribbon,
124,Net Basket,"Dragon's Grave - Bone Grove, or Campus Grounds (Chapter 6)",Eco-bag,Kittynip,Yubana Fruit/Dried Yubana/Yubana Flower/Lando/X-Lando/Sweet Lando/ATK Fruit/MGK Fruit/DEF Fruit/RES Fruit/SPD Fruit,Alchemic Bag,Jade Tablet
125,Alchemy Pack,"Complete Job no. 045, or Student Store (Chapter 6)",Alchemic Bag,Silky Cloth/Formell Fabric,Alchemist's Basket,Apollo's Diapason/Alchemic Cymbal,Holy Crest Paper/Zettel
126,Alchemy Pack,"Complete Job no. 045, or Student Store (Chapter 6)",Angel's Bag,Archangel Wings,Angel's Slip/Devil's Panties,Formell Fabric,Stone of Alectoria
127,Metallic Pack,Campus Grounds (Chapter 8),Plate Bag,Bronze Plate/Iron Plate/Baked Plate,Shield of Ajax/Mirror of Gargol/Divine Shield/Misty Curtain,Elemia Silver/Magical Clay/Blood Clay,Polish Powder/Shiny Powder
128,High Capacity Pack,Heart's Prison,Dimension Bag,Angel's Bag,Super Komet Ore,Toad Mouth,Nectar/Super Nectar/Shining Grail
129,Hammeryhammer,"Wind's Corridor - Mist, or Campus Grounds (Chapter 2)",Crack Hammer,Canone Rock/Glacier Stone/Thunder Stone,Legien Steel/Cyprus Copper,Belgrade Potato/Carrotato/Dirt,Gear/Grand Gear/Little Gear
130,Hammeryhammer,"Wind's Corridor - Mist, or Campus Grounds (Chapter 2)",Crusher Twins,Uni/Big Uni,Black Steel/Red Steel,Canone Rock/Glacier Stone/Thunder Stone,Belgrade Potato/Carrotato/Dirt/Red Dirt/Black Dirt/Crack Hammer
131,Wooden Beatstick,"The Heights, or Student Store (Chapter 3)",Wooden Club,Woodchip/Giant Woodchip,Spinacherb/Gash Twig/Dietary Fiber,Belgrade Potato/Carrotato/Dirt,Nicro Cloth
132,Wooden Beatstick,"The Heights, or Student Store (Chapter 3)",Brownie Hammer,Wooden Club/Wood Tympani,Brownie Mask,Cyprus Copper/Legien Steel/Preuve Lead,
133,Wooden Beatstick,"The Heights, or Student Store (Chapter 3)",Yula Hammer,Brownie Hammer,Megingjorz,Raw Komet Ore,Crusher Twins
134,Charge Hammer,"Complete Job no. 060, or Student Store (Chapter 6)",Sledgehammer,Gearbox/Eternal Key/Metronome,Giant Woodchip,Red Steel/Blue Steel/White Steel,Belgrade Potato/Carrotato/Dirt/Red Dirt/Black Dirt/Magical Clay/Blood Clay
135,Charge Hammer,"Complete Job no. 060, or Student Store (Chapter 6)",Grand Sledgehammer,Sledgehammer,Altena Ingot,Progius,Brownie Hammer/Yula Hammer
136,Hammeryhammer Plus,Student Store (Chapter 8),Vorey Splitter,Crusher Twins,Canone Crystal/Glacier Crystal/Thunder Crystal,Tera Flame/Big Uni Bomb/Big Orange Bomb/Big Lando Bomb,Burdock Straight/Burdock Curve/Shinke Onion/Pumpotatokin
